lonnrot_id	teos_wikidata_id	teos_nimi	tekija_etunimi	tekija_sukunimi	pseudonyymi	tekija_wikidata_id	vuosi	kokoteksti_linkki	genre	kokoomateoksen nimi (jos ei alkuperäinen julkaisu)	Alunperin kokoomateoksessa
231	na	Elämän havainnoita : kuvauksia kansan elämästä 7 : Rauta-mies ; Hairahdus ; Pentti ja Inka	Pietari	Päivärinta		Q7192746	1886	http://www.lonnrot.net/kirjat/0231.zip	novelleja		
232	na	Kotikuusen kuiskehia	Theodolinda	Hahnsson		Q1544350	1884	http://www.lonnrot.net/kirjat/0232.zip	romaani		
233	na	Elämän havainnoita : kuvauksia kansan elämästä 8 : Rauta-vaimoja ; Sokea ; Kuihtunut vesa	Pietari	Päivärinta		Q7192746	1887	http://www.lonnrot.net/kirjat/0233.zip	novelleja		
234	na	Kaksi	Theodolinda	Hahnsson		Q1544350	1893	http://www.lonnrot.net/kirjat/0234.zip	romaani		
235	na	Elämän havainnoita : kuvauksia kansan elämästä 9 : Sovittaja ; Paljon uutta ; Kerin Heikki	Pietari	Päivärinta		Q7192746	1888	http://www.lonnrot.net/kirjat/0235.zip	novelleja		
236	na	Viinantehtailia 	Theodolinda	Hahnsson		Q1544350	1877	http://www.lonnrot.net/kirjat/0236.zip	romaani		
237	na	Elämän havainnoita : kuvauksia kansan elämästä 10 : Pöyhkeä isäntä ; Kauppias-mummo ; Matkustaja	Pietari	Päivärinta		Q7192746	1889	http://www.lonnrot.net/kirjat/0237.zip	novelleja		
238	na	Marjapojat	Theodolinda	Hahnsson		Q1544350	1894	http://www.lonnrot.net/kirjat/0238.zip	romaani		
239	na	Mäkijärveläiset : kuvaus Savon kansan elämästä	Heikki	Kauppis		Q5486613	1887	http://www.lonnrot.net/kirjat/0239.zip	romaani		
240	na	Isäin pahat teot lasten päällä 	Pietari	Päivärinta		Q7192746	1887	http://www.lonnrot.net/kirjat/0240.zip	romaani		
241	Q64415422	Viija : kuvaus Savon kansan elämästä	Heikki	Kauppis		Q5486613	1889	http://www.lonnrot.net/kirjat/0241.zip	romaani		
